node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 0,
1, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 1,
2, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 2,
3, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 3,
4, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 4,
5, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 5,
6, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 6,
7, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 7,
8, 'europe-west3-c', 0, 0, 'FKA.pem', -1, 8,
9, 'europe-west3-c', 1, -1, 'FKA.pem', 0, -1,
10, 'europe-west3-c', 1, -1, 'FKA.pem', 1, -1,
11, 'europe-west3-c', 1, -1, 'FKA.pem', 3, -1,
12, 'europe-west3-c', 1, -1, 'FKA.pem', 4, -1,
13, 'europe-west3-c', 1, -1, 'FKA.pem', 6, -1,
14, 'europe-west3-c', 1, -1, 'FKA.pem', 7, -1,
15, 'europe-west3-c', 1, -1, 'FKA.pem', 9, -1,
16, 'europe-west3-c', 1, -1, 'FKA.pem', 10, -1,
17, 'europe-west3-c', 1, -1, 'FKA.pem', 12, -1,
18, 'europe-west3-c', 1, -1, 'FKA.pem', 13, -1,
19, 'europe-west3-c', 1, -1, 'FKA.pem', 15, -1,
20, 'europe-west3-c', 1, -1, 'FKA.pem', 16, -1,
21, 'europe-west3-c', 1, -1, 'FKA.pem', 18, -1,
22, 'europe-west3-c', 1, -1, 'FKA.pem', 19, -1,
23, 'asia-south1-c', 0, 1, 'FKE.pem', -1, 9,
24, 'asia-south1-c', 0, 1, 'FKE.pem', -1, 10,
25, 'asia-south1-c', 0, 1, 'FKE.pem', -1, 11,
26, 'asia-south1-c', 0, 1, 'FKE.pem', -1, 12,
27, 'asia-south1-c', 0, 1, 'FKE.pem', -1, 13,
28, 'asia-south1-c', 1, -1, 'FKE.pem', 2, -1,
29, 'asia-south1-c', 1, -1, 'FKE.pem', 5, -1,
30, 'asia-south1-c', 1, -1, 'FKE.pem', 8, -1,
31, 'asia-south1-c', 1, -1, 'FKE.pem', 11, -1,
32, 'asia-south1-c', 1, -1, 'FKE.pem', 14, -1,
33, 'asia-south1-c', 1, -1, 'FKE.pem', 17, -1,
34, 'asia-south1-c', 1, -1, 'FKE.pem', 20, -1,
