node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID,join_col,PublicIP
0, 'us-west1-b', 0, 0, 'FKA.pem', -1, 0,0,
1, 'us-west1-b', 0, 0, 'FKA.pem', -1, 1,0,
2, 'us-west1-b', 0, 0, 'FKA.pem', -1, 2,0,
3, 'us-west1-b', 0, 0, 'FKA.pem', -1, 3,0,
4, 'us-west1-b', 0, 1, 'FKA.pem', -1, 4,0,
5, 'us-west1-b', 0, 1, 'FKA.pem', -1, 5,0,
6, 'us-west1-b', 0, 1, 'FKA.pem', -1, 6,0,
7, 'us-west1-b', 0, 1, 'FKA.pem', -1, 7,0,
8, 'us-west1-b', 0, 2, 'FKA.pem', -1, 8,0,
9, 'us-west1-b', 0, 2, 'FKA.pem', -1, 9,0,
10, 'us-west1-b', 0, 2, 'FKA.pem', -1, 10,0,
11, 'us-west1-b', 0, 2, 'FKA.pem', -1, 11,0,
12, 'us-west1-b', 0, 3, 'FKA.pem', -1, 12,0,
13, 'us-west1-b', 0, 3, 'FKA.pem', -1, 13,0,
14, 'us-west1-b', 0, 3, 'FKA.pem', -1, 14,0,
15, 'us-west1-b', 0, 3, 'FKA.pem', -1, 15,0,
16, 'us-west1-b', 1, -1, 'FKA.pem', 0, -1,0,
17, 'us-west1-b', 1, -1, 'FKA.pem', 1, -1,0,
18, 'us-west1-b', 1, -1, 'FKA.pem', 2, -1,0,
19, 'us-west1-b', 1, -1, 'FKA.pem', 3, -1,0,
20, 'us-west1-b', 0, 4, 'FKE.pem', -1, 16,0,
21, 'us-west1-b', 0, 4, 'FKE.pem', -1, 17,0,
22, 'us-west1-b', 0, 4, 'FKE.pem', -1, 18,0,
23, 'us-west1-b', 0, 4, 'FKE.pem', -1, 19,0,
24, 'us-west1-b', 0, 5, 'FKE.pem', -1, 20,0,
25, 'us-west1-b', 0, 5, 'FKE.pem', -1, 21,0,
26, 'us-west1-b', 0, 5, 'FKE.pem', -1, 22,0,
27, 'us-west1-b', 0, 5, 'FKE.pem', -1, 23,0,
28, 'us-west1-b', 0, 6, 'FKE.pem', -1, 24,0,
29, 'us-west1-b', 0, 6, 'FKE.pem', -1, 25,0,
30, 'us-west1-b', 0, 6, 'FKE.pem', -1, 26,0,
31, 'us-west1-b', 0, 6, 'FKE.pem', -1, 27,0,
32, 'us-west1-b', 0, 7, 'FKE.pem', -1, 28,0,
33, 'us-west1-b', 0, 7, 'FKE.pem', -1, 29,0,
34, 'us-west1-b', 0, 7, 'FKE.pem', -1, 30,0,
35, 'us-west1-b', 0, 7, 'FKE.pem', -1, 31,0,
36, 'us-west1-b', 1, -1, 'FKE.pem', 4, -1,0,
37, 'us-west1-b', 1, -1, 'FKE.pem', 5, -1,0,
38, 'us-west1-b', 1, -1, 'FKE.pem', 6, -1,0,
39, 'us-west1-b', 1, -1, 'FKE.pem', 7, -1,0,
40, 'us-west1-b', 0, 8, 'FKU2.pem', -1, 32,0,
41, 'us-west1-b', 0, 8, 'FKU2.pem', -1, 33,0,
42, 'us-west1-b', 0, 8, 'FKU2.pem', -1, 34,0,
43, 'us-west1-b', 0, 8, 'FKU2.pem', -1, 35,0,
44, 'us-west1-b', 0, 9, 'FKU2.pem', -1, 36,0,
45, 'us-west1-b', 0, 9, 'FKU2.pem', -1, 37,0,
46, 'us-west1-b', 0, 9, 'FKU2.pem', -1, 38,0,
47, 'us-west1-b', 0, 9, 'FKU2.pem', -1, 39,0,
48, 'us-west1-b', 0, 10, 'FKU2.pem', -1, 40,0,
49, 'us-west1-b', 0, 10, 'FKU2.pem', -1, 41,0,
50, 'us-west1-b', 0, 10, 'FKU2.pem', -1, 42,0,
51, 'us-west1-b', 0, 10, 'FKU2.pem', -1, 43,0,
52, 'us-west1-b', 0, 11, 'FKU2.pem', -1, 44,0,
53, 'us-west1-b', 0, 11, 'FKU2.pem', -1, 45,0,
54, 'us-west1-b', 0, 11, 'FKU2.pem', -1, 46,0,
55, 'us-west1-b', 0, 11, 'FKU2.pem', -1, 47,0,
56, 'us-west1-b', 1, -1, 'FKU2.pem', 8, -1,0,
57, 'us-west1-b', 1, -1, 'FKU2.pem', 9, -1,0,
58, 'us-west1-b', 1, -1, 'FKU2.pem', 10, -1,0,
59, 'us-west1-b', 1, -1, 'FKU2.pem', 11, -1,0,
